,Credit_Limit,Customer_Age
0,12691.0,45
1,8256.0,49
2,3418.0,51
3,3313.0,40
4,4716.0,40
5,4010.0,44
6,34516.0,51
7,29081.0,32
8,22352.0,37
9,11656.0,48
10,6748.0,42
11,9095.0,65
12,11751.0,56
13,8547.0,35
14,2436.0,57
15,4234.0,44
16,30367.0,48
17,13535.0,41
18,3193.0,61
19,14470.0,45
20,20979.0,47
21,1438.3,62
22,4470.0,41
23,2492.0,47
24,12217.0,54
25,7768.0,41
26,14784.0,59
27,10215.0,63
28,10100.0,44
29,4785.0,47
30,2753.0,53
31,2451.0,53
32,8923.0,41
33,2650.0,53
34,12555.0,58
35,3520.0,55
36,3035.0,55
37,15433.0,42
38,3672.0,57
39,7882.0,66
40,32426.0,45
41,6205.0,51
42,17304.0,50
43,3906.0,49
44,9830.0,38
45,34516.0,49
46,2283.0,56
47,2548.0,59
48,19458.0,46
49,4745.0,52
50,2622.0,52
51,1438.3,54
52,3171.0,66
53,19763.0,49
54,15769.0,56
55,3298.0,49
56,2802.0,49
57,4458.0,56
58,6273.0,44
59,3336.0,42
60,3436.0,55
61,34516.0,48
62,5926.0,39
63,23957.0,44
64,14734.0,53
65,34516.0,51
66,6584.0,57
67,2084.0,44
68,1687.0,49
69,25300.0,50
70,34516.0,51
71,2216.0,55
72,2910.0,54
73,22913.0,42
74,24312.0,44
75,5272.0,53
76,7000.0,44
77,7038.0,37
78,2536.0,49
79,28904.0,47
80,8567.0,47
81,34516.0,44
82,2158.0,55
83,10133.0,59
84,34516.0,53
85,3085.0,52
86,19040.0,53
87,4026.0,43
88,12756.0,44
89,5266.0,57
90,9930.0,51
91,31302.0,49
92,6576.0,45
93,2664.0,53
94,2535.0,45
95,1709.0,64
96,3454.0,45
97,3789.0,53
98,9689.0,56
99,5449.0,47
100,23032.0,49
101,34516.0,41
102,2940.0,53
103,3031.0,44
104,1862.0,44
105,8358.0,43
106,34516.0,53
107,14450.0,44
108,1438.3,62
109,33791.0,54
110,8466.0,57
111,15088.0,42
112,3263.0,42
113,1494.0,54
114,13551.0,48
115,18886.0,49
116,11976.0,52
117,9964.0,50
118,24159.0,49
119,5362.0,53
120,34516.0,50
121,3174.0,55
122,12262.0,53
123,3788.0,47
124,34516.0,55
125,2926.0,47
126,32090.0,58
127,11669.0,53
128,13532.0,52
129,11888.0,50
130,2393.0,42
131,6111.0,43
132,19270.0,57
133,3710.0,52
134,3235.0,47
135,11749.0,44
136,7753.0,53
137,10408.0,45
138,3967.0,63
139,6205.0,39
140,8025.0,48
141,9036.0,51
142,14926.0,54
143,6335.0,59
144,14979.0,59
145,2732.0,48
146,2250.0,41
147,10916.0,55
148,5349.0,47
149,9366.0,41
150,21617.0,40
151,13860.0,68
152,18386.0,50
153,2405.0,47
154,2154.0,53
155,2038.0,42
156,8135.0,48
157,9364.0,49
158,32643.0,44
159,3195.0,43
160,2852.0,56
161,4224.0,59
162,20459.0,46
163,3482.0,47
164,3065.0,50
165,2185.0,51
166,1611.0,47
167,2822.0,58
168,32975.0,46
169,1438.3,53
170,15875.0,45
171,6703.0,52
172,3212.0,53
173,34516.0,50
174,9797.0,41
175,10400.0,45
176,26792.0,53
177,3006.0,67
178,19482.0,57
179,3356.0,59
180,5771.0,45
181,11106.0,51
182,2890.0,59
183,3380.0,53
184,21331.0,47
185,12860.0,49
186,6278.0,49
187,1438.3,60
188,9355.0,50
189,20758.0,41
190,14612.0,57
191,27259.0,43
192,6347.0,57
193,21592.0,54
194,3449.0,51
195,6028.0,47
196,18214.0,41
197,16393.0,53
198,1438.3,68
199,7871.0,59
200,5288.0,48
201,11376.0,44
202,12302.0,48
203,34516.0,47
204,34516.0,47
205,10514.0,43
206,1438.3,55
207,1438.3,59
208,2619.0,63
209,24407.0,58
210,2377.0,53
211,34516.0,59
212,11086.0,52
213,11432.0,48
214,13258.0,43
215,2571.0,48
216,5781.0,43
217,7872.0,44
218,34516.0,41
219,11127.0,44
220,1857.0,50
221,1913.0,60
222,3839.0,44
223,2115.0,48
224,1438.3,44
225,27756.0,41
226,1438.3,45
227,13878.0,47
228,3106.0,51
229,34516.0,51
230,1438.3,60
231,18871.0,57
232,5207.0,41
233,17965.0,44
234,2733.0,43
235,8863.0,55
236,1857.0,52
237,34516.0,44
238,11107.0,41
239,21573.0,44
240,2859.0,53
241,5269.0,39
242,1438.3,49
243,3387.0,45
244,1982.0,54
245,4645.0,49
246,2189.0,46
247,2442.0,46
248,21304.0,47
249,7577.0,44
250,3234.0,50
251,4469.0,73
252,2910.0,56
253,3616.0,59
254,3252.0,70
255,2358.0,55
256,22322.0,43
257,3133.0,45
258,3540.0,45
259,6990.0,40
260,34516.0,36
261,1438.3,59
262,24396.0,43
263,2474.0,46
264,5214.0,41
265,5207.0,51
266,9512.0,51
267,3187.0,43
268,3353.0,64
269,2290.0,54
270,5279.0,48
271,23603.0,40
272,2601.0,57
273,6363.0,45
274,8029.0,41
275,2410.0,42
276,3401.0,45
277,2260.0,42
278,17682.0,47
279,4206.0,48
280,34516.0,43
281,23018.0,41
282,5556.0,54
283,6094.0,54
284,2939.0,61
285,5362.0,61
286,27126.0,48
287,3342.0,45
288,2532.0,54
289,1900.0,54
290,14546.0,44
291,2521.0,50
292,16427.0,55
293,13068.0,48
294,23218.0,45
295,3281.0,60
296,3096.0,55
297,2052.0,62
298,1438.3,38
299,9432.0,46
300,14938.0,50
301,2221.0,45
302,5731.0,47
303,34516.0,48
304,6985.0,35
305,24221.0,51
306,15439.0,36
307,21637.0,47
308,14543.0,52
309,9684.0,43
310,5007.0,63
311,1616.0,61
312,19116.0,53
313,2759.0,53
314,8249.0,57
315,14041.0,38
316,5264.0,53
317,2420.0,63
318,2826.0,49
319,12518.0,45
320,5876.0,67
321,34516.0,48
322,9648.0,51
323,34516.0,52
324,3025.0,55
325,3265.0,34
326,6041.0,56
327,2293.0,44
328,13399.0,47
329,4317.0,46
330,3378.0,43
331,5012.0,50
332,2569.0,38
333,3471.0,53
334,34516.0,43
335,3312.0,53
336,2578.0,56
337,2902.0,54
338,2742.0,57
339,2077.0,62
340,6265.0,46
341,7819.0,49
342,2731.0,52
343,1438.3,58
344,16286.0,54
